user.nickname,user.name,user.avatar,user.verified,user.locked,display,text,image,date,app,retweets,quotedTweets,likes,key
bio_adventurer,biologist,biologist-icon.png,TRUE,FALSE,default,Finally reached base camp. Time to get busy. In training they said it can be months before we're done. Bring it.,,"6:18 PM · Apr 11, 2014",Twitter for iPhone,467,75,1307,1
bio_adventurer,biologist,biologist-icon.png,TRUE,FALSE,default,"Fourth day at base camp, there's a tower that isn't on the map. Well, --> I think it's a tower.",,"10:07 AM · Apr 15, 2014",Twitter for iPhone,2653,424,7428,2
bio_adventurer,biologist,biologist-icon.png,TRUE,FALSE,default,"The surveyor says it's impossible, it's not here. We're all hallucinating then…",,"10:32 AM · Apr 15, 2014",Twitter for iPhone,3979,637,11142,3
bio_adventurer,biologist,biologist-icon.png,TRUE,FALSE,default,Staying occupied. This place is a protected wildlife refuge. An ecosystem made of many wonders.,,"12:41 PM · Apr 15, 2014",Twitter for iPhone,1630,261,4564,4
bio_adventurer,biologist,biologist-icon.png,TRUE,FALSE,default,"Hard to remind myself to be the scientist, not the hiker.",,"1:19 PM · Apr 15, 2014",Twitter for iPhone,4486,718,12560,5
bio_adventurer,biologist,biologist-icon.png,TRUE,FALSE,default,No one else sees this as a tower? Something about it simultaneously fascinates me and gives me vertigo.,,"7:04 PM · Apr 15, 2014",Twitter for iPhone,3519,563,9854,6
bio_adventurer,biologist,biologist-icon.png,TRUE,FALSE,default,"You want this tower to only go six-feet-under? Jesus, @lonewolfsurveyor, talk about unsettling.",,"10:12 AM · Apr 16, 2014",Twitter for iPhone,4012,642,11233,7
bio_adventurer,biologist,biologist-icon.png,TRUE,FALSE,default,"She didn't have to literally dig her grave with that remark. but whatever, she went first.",,"10:16 AM · Apr 16, 2014",Twitter for iPhone,3938,630,11027,8
bio_adventurer,biologist,biologist-icon.png,TRUE,FALSE,default,"Alright world, cheers in case you don't hear from us again. No sunlight from here on.",imgs/darkwalls.jpg,"10:21 AM · Apr 16, 2014",Twitter for iPhone,4663,746,13058,9
bio_adventurer,biologist,biologist-icon.png,TRUE,FALSE,default,We found some bizarre vines that are interlaced that make writing on the wall. Too dark to take pics.,,"10:38 AM · Apr 16, 2014",Twitter for iPhone,3491,559,9776,10
bio_adventurer,biologist,biologist-icon.png,TRUE,FALSE,default,"Says ""Where lies the strangling fruit that came from the hand of the sinner shall bring forth the seeds of the dead to share with the worms that…"" and rambles on.",,"10:39 AM · Apr 16, 2014",Twitter for iPhone,4194,671,11743,11
bio_adventurer,biologist,biologist-icon.png,TRUE,FALSE,default,"Something is wrong with those fruiting bodies. I directed @lonewolfsurveyor and @anthro_hiker to leave, we should be wearing masks.",,"10:45 AM · Apr 16, 2014",Twitter for iPhone,1199,192,3356,12
